,train,test,cv_score,hyperparams
0,89.25,82.286,72.417,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 3), 'prefix_lens': range(1, 3), 'num_top_words': inf}"
1,89.25,82.286,67.0,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 4), 'prefix_lens': range(1, 3), 'num_top_words': inf}"
2,89.25,82.286,70.0,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 5), 'prefix_lens': range(1, 3), 'num_top_words': inf}"
3,89.25,82.286,71.333,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 3), 'prefix_lens': range(1, 3), 'num_top_words': inf}"
4,89.25,82.286,71.083,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 4), 'prefix_lens': range(1, 3), 'num_top_words': inf}"
5,89.25,82.286,70.5,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 5), 'prefix_lens': range(1, 3), 'num_top_words': inf}"
6,89.25,82.286,69.167,"{'substr_lens': range(1, 4), 'suffix_lens': range(3, 4), 'prefix_lens': range(1, 3), 'num_top_words': inf}"
7,89.25,82.286,71.75,"{'substr_lens': range(1, 4), 'suffix_lens': range(3, 5), 'prefix_lens': range(1, 3), 'num_top_words': inf}"
8,89.25,82.286,72.5,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 3), 'prefix_lens': range(1, 4), 'num_top_words': inf}"
9,89.25,82.286,69.0,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 4), 'prefix_lens': range(1, 4), 'num_top_words': inf}"
10,89.25,82.286,70.917,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 5), 'prefix_lens': range(1, 4), 'num_top_words': inf}"
11,89.25,82.286,72.25,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 3), 'prefix_lens': range(1, 4), 'num_top_words': inf}"
12,89.25,82.286,68.5,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 4), 'prefix_lens': range(1, 4), 'num_top_words': inf}"
13,89.25,82.286,70.667,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 5), 'prefix_lens': range(1, 4), 'num_top_words': inf}"
14,89.25,82.286,67.833,"{'substr_lens': range(1, 4), 'suffix_lens': range(3, 4), 'prefix_lens': range(1, 4), 'num_top_words': inf}"
15,89.25,82.286,72.25,"{'substr_lens': range(1, 4), 'suffix_lens': range(3, 5), 'prefix_lens': range(1, 4), 'num_top_words': inf}"
16,89.25,82.286,72.167,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 3), 'prefix_lens': range(1, 5), 'num_top_words': inf}"
17,89.25,82.286,72.0,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 4), 'prefix_lens': range(1, 5), 'num_top_words': inf}"
18,89.25,82.286,69.083,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 5), 'prefix_lens': range(1, 5), 'num_top_words': inf}"
19,89.25,82.286,69.667,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 3), 'prefix_lens': range(1, 5), 'num_top_words': inf}"
20,89.25,82.286,69.583,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 4), 'prefix_lens': range(1, 5), 'num_top_words': inf}"
21,89.25,82.286,72.25,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 5), 'prefix_lens': range(1, 5), 'num_top_words': inf}"
22,89.25,82.286,68.833,"{'substr_lens': range(1, 4), 'suffix_lens': range(3, 4), 'prefix_lens': range(1, 5), 'num_top_words': inf}"
23,89.25,82.286,67.917,"{'substr_lens': range(1, 4), 'suffix_lens': range(3, 5), 'prefix_lens': range(1, 5), 'num_top_words': inf}"
24,89.25,82.286,71.083,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 3), 'prefix_lens': range(2, 3), 'num_top_words': inf}"
25,89.25,82.286,69.25,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 4), 'prefix_lens': range(2, 3), 'num_top_words': inf}"
26,89.25,82.286,71.167,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 5), 'prefix_lens': range(2, 3), 'num_top_words': inf}"
27,89.25,82.286,70.25,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 3), 'prefix_lens': range(2, 3), 'num_top_words': inf}"
28,89.25,82.286,72.083,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 4), 'prefix_lens': range(2, 3), 'num_top_words': inf}"
29,89.25,82.286,69.667,"{'substr_lens': range(1, 4), 'suffix_lens': range(2, 5), 'prefix_lens': range(2, 3), 'num_top_words': inf}"
30,89.25,82.286,68.0,"{'substr_lens': range(1, 4), 'suffix_lens': range(3, 4), 'prefix_lens': range(2, 3), 'num_top_words': inf}"
31,89.25,82.286,71.5,"{'substr_lens': range(1, 4), 'suffix_lens': range(3, 5), 'prefix_lens': range(2, 3), 'num_top_words': inf}"
32,89.25,82.286,70.083,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 3), 'prefix_lens': range(2, 4), 'num_top_words': inf}"
33,89.25,82.286,69.5,"{'substr_lens': range(1, 4), 'suffix_lens': range(1, 4), 'prefix_lens': range(2, 4), 'num_top_words': inf}"
