,cv,num_features,C,ngram_lens,suffix_lens,prefix_lens,hyperparams
0,84.996,200,0.001,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.001, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
1,84.994,200,0.005,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.005, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
2,84.919,200,0.01,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.01, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
3,85.33,200,0.05,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.05, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
4,85.457,200,0.1,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.1, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
5,85.813,200,0.5,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
6,85.891,200,1.0,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 1, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
7,85.439,200,5.0,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
8,85.335,200,10.0,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 10, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
9,85.461,200,50.0,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 50, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
10,85.504,200,100.0,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 100, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
11,85.048,400,0.001,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 0.001, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
12,85.039,400,0.005,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 0.005, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
13,84.963,400,0.01,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 0.01, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
14,85.822,400,0.05,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 0.05, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
15,86.059,400,0.1,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 0.1, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
16,86.28,400,0.5,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
17,86.18,400,1.0,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 1, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
18,85.63,400,5.0,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
19,85.372,400,10.0,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 10, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
20,85.257,400,50.0,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 50, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
21,85.337,400,100.0,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 100, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
22,84.904,600,0.001,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 600, 'C': 0.001, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
23,84.902,600,0.005,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 600, 'C': 0.005, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
24,84.859,600,0.01,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 600, 'C': 0.01, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
25,85.913,600,0.05,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 600, 'C': 0.05, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
26,86.178,600,0.1,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 600, 'C': 0.1, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
