,train,cv_mean,cv_std,num_features,C,ngram_lens,suffix_lens,prefix_lens,hyperparams
0,88.0,85.758,3.03063,200,0.2,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
1,88.25,85.808,3.02532,200,0.3,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
2,88.333,85.878,2.99384,200,0.4,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
3,88.333,85.922,3.02373,200,0.5,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
4,88.417,85.967,2.96076,200,0.6,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.6, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
5,88.5,85.992,2.93786,200,0.7,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.7, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
6,88.583,86.008,3.00183,200,0.8,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 200, 'C': 0.8, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
7,89.167,85.972,2.99482,300,0.2,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 300, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
8,89.25,86.069,3.01771,300,0.3,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 300, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
9,89.417,86.153,2.97742,300,0.4,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 300, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
10,89.333,86.239,2.986,300,0.5,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 300, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
11,89.333,86.25,2.93265,300,0.6,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 300, 'C': 0.6, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
12,89.417,86.317,2.90563,300,0.7,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 300, 'C': 0.7, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
13,89.5,86.314,2.87031,300,0.8,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 300, 'C': 0.8, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
14,89.583,86.261,2.836,400,0.2,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
15,89.667,86.261,2.78976,400,0.3,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
16,89.667,86.294,2.78109,400,0.4,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
17,89.833,86.325,2.79543,400,0.5,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
18,89.917,86.325,2.79626,400,0.6,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 400, 'C': 0.6, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
