,train,cv_mean,cv_std,num_features,C,ngram_lens,suffix_lens,prefix_lens,feature_selection,hyperparams
0,88.75,86.808,2.93476,200,0.2,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 200, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
1,88.667,86.858,2.96812,200,0.25,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 200, 'C': 0.25, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
2,89.0,86.914,2.94829,200,0.3,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 200, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
3,89.0,86.992,2.95803,200,0.35,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 200, 'C': 0.35, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
4,89.25,86.969,2.92249,200,0.4,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 200, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
5,89.0,87.006,2.89975,250,0.2,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 250, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
6,89.083,87.072,2.95079,250,0.25,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 250, 'C': 0.25, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
7,89.167,87.094,2.90318,250,0.3,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 250, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
8,89.333,87.117,2.85297,250,0.35,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 250, 'C': 0.35, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
9,89.5,87.078,2.85642,250,0.4,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 250, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
10,88.833,87.014,2.97507,275,0.2,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 275, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
11,89.25,87.0,2.94332,275,0.25,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 275, 'C': 0.25, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
12,89.25,87.089,2.92233,275,0.3,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 275, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
13,89.417,87.081,2.94056,275,0.35,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 275, 'C': 0.35, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
